count
53
28
5
41
1
1
1
15
1
65
1
5
70
1
11
4
2
2
57
985
1
15
48
106
5
4
1
6
2
6
44
3
4
1
5
1
1
19
3
4
1
2
1
1
20
10
15
6
3
3
1
1
14
74
1
10
5
2
11
3
14
16
3
120
22
22
29
7
2
3
3
16
8
195
6
3
51
1
8
24
4
8
1
2
6
3
6
1
17
12
9
55
24
22
3
2
1
1
10
11
2
8
1
103
93
3
6
438
31
69
6
18
2
7
2
1
13
1
1
45
18
18
5
16
6
1
16
1
4
3
19
4
5
417
5
1
156
7
7
8
11
6
3
1
3
1
6
2
441
2
2
1
2
3
2
5
8
4
1
25
5
2
10
1
48
22
1
9
22
13
347
29
13
11
3
9
2
17
2
5
1
50
38
2
4
10
2
83
29
9
1
3
1
7
15
1
3
9
33
111
1
4
208
10
6
3
26
1
4
26
51
5
5
6
1
58
5
3
4
3
2
28
1
2
22
4
6
8
1
39
4
2
1
2
2
2
33
11
12
20
8
1
81
3
1
14
13
8
26
3
35
107
7
4
7
2
5
31
1
2
8
6
63
6
14
4
3
11
27
34
1
106
6
14
21
1
1
3
1
5
2
1
10
343
1
3
165
70
2
2
11
1
76
1022
67
2
11
4
80
4
5
41
27
1
2
1
102
2
38
41
10
54
36
53
7
5
28
4
2
33
1
6
17
8
13
7
13
7
23
2
1
248
1
10
1
2
3
6
1
1
5
1
16
7
2
3
7
365
2
18
29
1
23
5
3
240
34
2
12
11
2
1
9
1
63
1
4
8
54
1
2
3
1
3
9
5
17
34
212
2
101
23
1
2
1
61
2
106
123
3
30
22
11
143
2
11
6
154
39
4
68
63
2
6
29
22
3
6
1
1
4
67
13
3
29
5
1
20
9
131
59
8
46
5
6
169
3
1
1
126
4
6
1
45
89
4
171
26
34
2
2
2
1
11
20
4
4
2
53
5
18
12
6
2
6
7
6
1
22
15
9
3
1
37
1
34
15
2
2
7
1
2
3
16
41
5
1
2
9
1
9
8
3
130
2
24
9
2
2
33
3
18
39
3
6
3
1
3
7
119
36
3
87
2
4
2
11
2
1
121
1
12
2
1
6
20
6
68
1
6
10
73
5
7
7
3
8
3
2
1
1
66
4
20
3
5
5
1
6
2
4
6
49
19
5
8
95
2
28
4
4
9
16
4
1
3
3
41
9
167
4
60
17
1
4
27
6
1
26
20
48
9
16
8
2
1
1
19
119
8
1
1
18
17
2
4
3
1
15
3
5
10
3
21
71
4
39
15
5
9
10
9
13
3
3
1
7
16
35
20
6
1
10
38
5
10
9
10
13
5
2
1
1
38
3
1
55
1
7
285
136
12
5
14
45
64
2
1
1
158
17
6
19
4
13
8
2
6
1
2
3
1
40
17
7
1
1
95
3
4
3
96
56
8
2
3
5
2
5
8
33
6
8
1
23
2
4
8
61
1
9
10
16
5
22
8
6
5
76
